,acc_train,acc_test,rmse_train,rmse_test
k = 1,0.99744,0.7375600883461089,0.06499230723708768,0.6676511720701046
k = 3,0.854592,0.6974145771079642,0.5575374426888297,0.7926517135471396
k = 5,0.79872,0.6776666233597506,0.6387988728856682,0.8087959989450832
k = 7,0.758016,0.6599974015850332,0.7063596817486117,0.840695468638137
k = 9,0.731072,0.6402494478368196,0.753912461761974,0.8580564555218227
k = 11,0.710336,0.6328439651812394,0.7813833886127859,0.8762600200340918
k = 13,0.691328,0.622060543068728,0.8087916913519821,0.8872371803600939
k = 15,0.67936,0.6168637131349877,0.823300674116085,0.8935116107644443
k = 17,0.666432,0.6076393400025984,0.8453165087705314,0.9049256747430401
k = 19,0.655488,0.6054306872807588,0.8634442657172494,0.9171188171528739
k = 21,0.648512,0.5967259971417436,0.8743454694798848,0.9345198073690452
k = 23,0.634176,0.589970118227881,0.9043539130229935,0.9502363921611283
k = 31,0.616192,0.5829543978173314,0.9271720444448268,0.9646876802284589
k = 41,0.592832,0.565545017539301,0.9743264340045383,0.9859346018403783
k = 51,0.575296,0.5521631804599194,1.0106631486306403,1.0225469097643258
